<ГЛАВА 1: НОВОБРАНЕЦ>          |1)Начать главу |1 | 
На полке с оружием было больше всего ножей разнообразных форм и видов.*Один из ножей тебя очень привлек. На сколько ты помнил он назывался нож - бабочка.*Ручка ножа была сделана из бука, а лезвие было сделано из стали. На ручке были выжжены какие - то символы, но ты не понимал как их прочесть. Так же на ручке с другой стороны были выжжены красивые узоры напоминающие косу.*Нож явно был чей - то, так как на лезвие были инициалы - М.Д.*Ты решил рассмотреть остальное оружие. Среди ножей, ножевых бумерангов и мечей ты не нашел больше ничего интересного.          |1)Посмотреть другие полки 2)Уйти из здания обмена |109 111 |
На полке было много статуэток с животными еще до эволюции. Ты уже родился тогда, когда животные эволюционировали, а люди исчезли.*Больше всего тебя привлекла статуэтка среднего размера. Это была статуэтка человека.*Ты решил поближе ее рассмотреть, ведь людей ты не застал.*Статуэтка была в виде женщины и сделана из мрамора. Она была без одежды и держала яблоко в руке. - Так вот как выглядели люди - подумал ты.*Лицо женской статуэтки было не улыбающимся и направлено в сторону яблока.*- Интересно, почему люди не улыбались? - подумал ты.*Не долго разглядывая статуэтку ты отошел от нее и смотрел на полку разглядывая другие фигурки.          |1)Посмотреть другие полки 2)Уйти из здания обмена |109 111 |
- О, тебя заинтересовал искусный мастер? - уточнил Рой.*Рой опустил свою ногу, сел поудобнее и начал рассказ.*- Мастера уже давно нет в живых, но его работы есть в каждом уголке мира. Когда я путешествовал по миру, тогда у меня уже не было ноги и я носил обычный дубовый протез, я побывал в городе искусных мастеров. Там работают и живут мастера со всего мира - коты, собаки, совы и даже таинственные мастера лисы.*Как раз у одного из лис я и заказал протез. Его звали Люмор.*Рой замолчал не надолго, и снова стал рассказывать:*- Если не затягивать историю, то протез я ждал почти 5 месяцев. Каждый камушек нужно было огранить, подогнать размер под выемки на протезе. Сандаловое дерево нужно было хорошо обработать и вымочить что бы оно поддалось. Когда я получил готовый результат я бы удивлен.*Идеальный протез точно подходил мне. Я тогда здорово отблагодарил Люмора деньгами, хе - хе!*Ты усмехнулся вместе с Роем.*Взглянув на часы, ты понял что тебе пора идти.*Ты дал знак Рою что тебе пора уходить.*- Удачи парень! И постарайся не потерять конечности, хе - хе! - Рой засмеялся, а ты вышел из здания обмена и отправился на собрание.          |1)Отправиться на собрание новобранцев |108 |
Ты поднимаешься и подаешь руку Хлое. Она протягивает тебе свою ладонь и встает.*Вы смотрите друг на друга. Хлоя улыбнулась тебе и сказала: - Ты что тут делаешь?          |1)Я пришел к матери. Ты в порядке? |116 |
- Да, все хорошо. Просто слегка ушиблась о твое плечо. - произнесла она. Ты помог Хлое собрать документы в папку и за одно узнал у нее где сейчас твоя мама.*Попрощавшись с Хлоей ты направился в кабинет.          |1)Пойти в кабинет Мамы |45 |
Ты приоткрываешь дверь в кабинет и заглядываешь. Мама резко поворачивается к двери лицом. Когда она замечает что это ты она улыбается и говорит: - Харти! Заходи, заходи, мы уже почти закончили.*Ты проходишь в кабинет и садишься на на стул возле входа. Сидящий пациент забирает справки и выходит из кабинета.*Мама что - то быстро дописывает в карту и обращается к тебе: - Харти, ты что тут делаешь? Разве у тебя не сегодня собрание новобранцев?          |1)Я решил перед этим навестить тебя |48 |
Ты нахмурился и посмотрел на Хлою не добрым взглядом. Резко встав ты направился к списку врачей в котором было написано в каком кабинете находится твоя мама.*Хлоя встала с пола и окликнула тебя: - Эй, Харт! Куда ты так спешишь?*Ты обернулся и серьезно посмотрел на Хлою.          |1)Извини, что сбил, но мне нужно идти! Увидимся позже! |119 |
Хлоя лишь пожала плечами и стала собирать свои документы в папку.          |1)Пойти в кабинет Мамы |45 |
Ты решил не мешкать и узнать у сидящего за стойкой кота где кабинет Ваако.*В меру упитанный кот посмотрел на тебя и сказал: - кабинет Ваако там.*Ты посмотрел в сторону куда указывал палец кота.*После чего ты сказал спасибо и помчался к кабинету Ваако.          |1)Идти к кабинету |121 |
Подойдя к двери и дернув за ручку ты понял - кабинет закрыт.*Но спустя пару секунд в двери повернулся замок и она открылась. Отец хотел что - то сказать, но как только понял что это ты, его сын, заулыбался и просто обнял тебя.*Вы редко видитесь с отцом из - за его работы, поэтому она всегда был рад любой возможности побыть с тобой.*- Как ты, Харт? Готов к первому дню в качестве новобранца? - теплым и родным голосом сказал отец.          |1)Да, готов. Буду примерным героем 2)Немного сомневаюсь, но думаю, что смогу стать героем |52 122 |
- Не сомневайся в себе. Сомнения порождают в тебе неуверенность. - твердо и одновременно тепло проговорил отец.*Слова отца придали тебе уверенности.*- Харт, кажется ты опаздываешь на собрание. Иди, пока не пропустил занятие! - сказал отец.*Ты взглянул на часы. Да, пора идти.*Выходя из кабинета ты посмотрел на отца. Он улыбнулся тебе в ответ и закрыл за тобой дверь.          |1)Бежать на собрание |53 |
<ГЛАВА 2: КАКОЕ ТО НАЗВАНИЕ>          |1)Начать главу |124 | 
Какой то текст второй главы          |1)Пока что конец | | 
